recId,taxon_id,common_name,scientific_name
2,9556,Baboon,Papio%20cynocephalus
2,447135,Bank%20vole,Clethrionomys%20glareolus
2,9643,Bear,Ursus%20americanus
2,175121,Birds,Passeroidea
2,8032,Brown%20Trout,Salmo%20trutta
2,9901,Buffalo,Bison%20bison
2,9625,Carnivores,Vulpes
2,9685,Cat,Felis%20catus
2,7995,Catfishes,Siluriformes
2,9913,Cattle,Bos%20taurus
2,9031,Chicken,Gallus%20gallus
2,9598,Chimpanzee,Pan%20troglodytes
2,10150,chinchillas,Chinchillidae
2,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
2,9860,Deer,Cervus%20elaphus
2,10042,Deer%20mouse,Peromyscus%20maniculatus
2,9615,Dog,Canis%20familiaris
2,8835,Ducks,Anas
2,9669,Ferret,Mustela%20putorius%20furo
2,117565,Fish,Hyperotreti
2,10045,Gerbil,Gerbillina
2,9925,Goat,Capra%20hircus
2,9612,Gray%20wolf,Canis%20lupus
2,10141,Guinea%20pig,Cavia%20porcellus
2,10036,Hamster,Mesocricetus%20auratus
2,9796,Horse,Equus%20caballus
2,9606,Human,Homo%20sapiens
2,9541,Macaque,Macaca%20fascicularis
2,10047,Mongolian%20Gerbil,Meriones%20unguiculatus
2,9479,Monkey,Platyrrhini
2,10090,Mouse,Mus%20musculus
2,,None,None
2,9224,Parrot,Psittacidae
2,9823,Pig,Sus%20scrofa
2,9986,Rabbit,Oryctolagus%20cuniculus
2,8022,Rainbow%20trout,Oncorhynchus%20mykiss
2,10114,Rat,Rattus
2,56781,Raven,Corvus%20corax
2,9768,sei%20whale,Balaenoptera%20borealis
2,9940,Sheep,Ovis%20aries
2,37591,Squirrel,Spermophilus%20richardsonii
2,9393,Tree%20shrew,Tupaiidae
2,504568,Trouts%2C%20salmons%20%26%20chars,Salmoninae
2,9103,Turkey,Meleagris%20gallopavo
2,79684,Vole,Microtus%20ochrogaster
2,391902,Water%20buffalo,Bubalus%20bubalis
15,9556,Baboon,Papio%20cynocephalus
15,447135,Bank%20vole,Clethrionomys%20glareolus
15,9643,Bear,Ursus%20americanus
15,175121,Birds,Passeroidea
15,8032,Brown%20Trout,Salmo%20trutta
15,9901,Buffalo,Bison%20bison
15,9625,Carnivores,Vulpes
15,9685,Cat,Felis%20catus
15,7995,Catfishes,Siluriformes
15,9913,Cattle,Bos%20taurus
15,9031,Chicken,Gallus%20gallus
15,9598,Chimpanzee,Pan%20troglodytes
15,10150,chinchillas,Chinchillidae
15,9067,Copper%20Pheasant,Syrmaticus%20soemmerringii
15,9860,Deer,Cervus%20elaphus
15,10042,Deer%20mouse,Peromyscus%20maniculatus
15,9615,Dog,Canis%20familiaris
15,8835,Ducks,Anas
15,9669,Ferret,Mustela%20putorius%20furo
15,117565,Fish,Hyperotreti
15,10045,Gerbil,Gerbillina
