"Index ","Pathogen Name ","Disease",Export%20to%20XML
"1","Actinobacillus pleuropneumoniae","porcine pleuropneumonia","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=86"
"2","Adenovirus","Respiratory infection","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=216"
"3","Aeromonas hydrophila","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=211"
"4","Aeromonas salmonicida","Furunculosis, Bald sea urchin disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=79"
"5","African horse sickness virus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=283"
"6","African Swine Fever Virus","African Swine Fever","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=220"
"7","Allergy","Allergy","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=114"
"8","Arthritis","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=238"
"9","Atherosclerosis","Atherosclerosis, arteriosclerotic vascular disease (ASVD)","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=215"
"10","Avian Encephalomyelitis Virus","Avian Encephalomyelitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=148"
"11","Avian Paramyxovirus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=164"
"12","Avian pneumovirus","Turkey rhinotracheitis, Avian rhinotracheitis, Swollen head syndrome","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=167"
"13","Avian Polyomavirus","Papovavirus, Budgerigar fledgling disease, Psittacine polyomavirus","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=168"
"14","Avian Reovirus","Viral Arthritis, Pale Bird Syndrome, Tenosynovitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=142"
"15","Babesia bovis","Babesiosis, Texas Cattle Fever","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=92"
"16","Babesia canis","Piroplasmosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=96"
"17","Bacillus anthracis","Anthrax","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=7"
"18","Bifidobacterium bifidum PRL2010","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=297"
"19","Bluetongue virus","Bluetongue disesase","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=165"
"20","Bordetella avium","Bordetellosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=85"
"21","Bordetella bronchiseptica","Infectious bronchitis, kennel cough","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=166"
"22","Bordetella pertussis","Whooping Cough","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=109"
"23","Borna disease virus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=286"
"24","Borrelia burgdorferi","Lyme Disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=135"
"25","Bovine coronavirus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=198"
"26","Bovine herpesvirus 1","Infectious bovine rhinotracheitis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=67"
"27","Bovine Leukemia virus","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=101"
"28","Bovine papillomavirus","Warts","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=193"
"29","Bovine Parainfluenza 3 Virus (BPIV-3)","undefined","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=144"
"30","Bovine Respiratory Syncytial Virus","Respiratory Disease","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=143"
"31","Bovine viral diarrhea virus 1","Bovine viral Diarrhea (BVD)","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=169"
"32","Bovine viral diarrhea virus 2","Bovine viral diarrhea","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=256"
"33"," spp.","Brucellosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=8"
"34","Burkholderia pseudomallei","Melioidosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=121"
"35"," fetus","bovine venereal campylobacteriosis (BVC)","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=196"
"36","Campylobacter jejuni","Campylobacterosis","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=24"
"37","Canarypox virus","Canary Pox","http://www.violinet.org/violinml/show_xml.php?c_pathogen_id=189"
